Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"CHALET","239.00","242.75","236.55","238.00","-3.15","-1.31","1.68","4.02","292.80","122.65","19.93","-8.09"
"BSOFT","484.00","485.00","476.90","478.30","-6.50","-1.34","13.61","65.47","513.95","194.15","131.90","10.11"
"EPL","207.00","207.00","203.60","203.80","-2.80","-1.36","4.70","9.59","291.95","192.05","-21.45","-9.90"
"IIFLWAM","1,491.50","1,508.75","1,452.65","1,470.75","-20.75","-1.39","0.87","12.97","1,785.40","961.00","44.90","-7.42"
"INDOCO","435.00","443.80","428.05","430.00","-6.15","-1.41","1.03","4.47","530.25","252.00","47.16","-3.89"
"SCHNEIDER","114.95","115.85","110.55","112.70","-1.65","-1.44","5.26","5.93","147.15","76.90","28.36","-8.67"
"ZENSARTECH","446.15","452.05","436.50","439.70","-6.45","-1.45","7.64","33.73","587.00","200.00","68.82","-5.30"
"INGERRAND","1,241.00","1,270.00","1,227.00","1,235.00","-19.00","-1.52","0.17","2.07","1,350.00","610.05","89.56","6.50"
"PVR","1,490.00","1,498.00","1,460.00","1,465.00","-23.20","-1.56","8.31","122.78","1,839.00","988.35","-1.55","-18.29"
"ROUTE","1,870.40","1,873.70","1,838.00","1,843.50","-31.10","-1.66","1.29","23.90","2,389.00","1,010.00","54.09","-6.50"
"SWSOLAR","398.00","401.05","388.35","391.50","-7.05","-1.77","6.85","26.93","509.10","183.50","48.13","-11.67"
"BHARATRAS","10,375.00","10,623.20","10,301.90","10,301.90","-190.15","-1.81","0.02","1.58","15,131.70","8,700.00","6.03","0.34"
"FSL","178.00","179.10","174.00","174.85","-3.30","-1.85","37.74","66.34","242.85","66.50","128.71","-12.03"
"KPRMILL","528.00","540.00","511.15","520.00","-9.85","-1.86","2.89","15.12","562.30","160.22","-38.43","0.47"
"ECLERX","2,221.50","2,221.50","2,144.10","2,154.80","-41.75","-1.90","0.30","6.48","2,620.80","718.10","163.63","-9.45"
"LUXIND","3,878.40","3,897.40","3,783.25","3,784.30","-74.15","-1.92","0.41","15.87","4,644.00","1,514.95","137.61","-4.09"
"PNCINFRA","310.00","310.00","295.90","300.75","-6.40","-2.08","5.82","17.74","395.90","157.00","67.60","-11.03"
"KEI","1,136.55","1,158.00","1,101.55","1,112.00","-24.55","-2.16","3.65","41.20","1,265.00","415.10","158.03","13.20"
"BURGERKING","162.00","162.00","157.85","159.00","-3.65","-2.24","32.29","51.54","213.80","108.40","-","-"
"INOXLEISUR","406.95","407.00","397.35","398.90","-9.90","-2.42","4.93","19.75","466.00","244.00","36.70","-9.79"
"HGS","3,208.40","3,230.00","3,100.85","3,124.00","-84.40","-2.63","0.15","4.63","3,555.00","922.00","227.86","23.01"
"JMFINANCIL","77.50","77.70","75.05","75.50","-2.20","-2.83","23.98","18.24","117.70","64.90","-11.02","-10.81"
"BEML","2,004.00","2,018.00","1,930.00","1,938.25","-64.55","-3.22","4.03","79.13","2,085.00","735.95","158.80","16.37"
"TANLA","1,891.55","1,939.00","1,772.10","1,775.00","-71.95","-3.90","11.21","209.67","1,939.00","570.50","105.95","48.39"
"HFCL","92.45","93.70","85.70","86.65","-5.75","-6.22","419.28","372.95","95.70","20.95","291.20","13.71"
